time,ax,ay,az,gx,gy,gz
1595879211,0.3306,0.9135,0.3128,0.4878,0.7927,-0.0610
1595879211,0.3328,0.9224,0.3156,0.4878,0.4878,-0.1220
1595879211,0.3335,0.9207,0.3116,0.3659,0.1829,-0.1220
1595879211,0.3342,0.9205,0.3115,0.1829,-0.1829,-0.1220
1595879211,0.3352,0.9188,0.3157,0.1829,-0.2439,-0.1829
1595879211,0.3325,0.9175,0.3181,0.2439,-0.2439,-0.3049
1595879211,0.3357,0.9150,0.3206,0.1220,-0.0610,-0.3659
1595879211,0.3350,0.9114,0.3198,0.2439,0.1220,-0.3049
1595879211,0.3303,0.9119,0.3176,0.4878,0.3049,-0.3049
1595879211,0.3282,0.9153,0.3125,0.5488,0.4268,-0.1829
1595879211,0.3303,0.9170,0.3104,0.4268,0.3049,-0.1829
1595879211,0.3344,0.9214,0.3133,0.3659,-0.1829,-0.3049
1595879211,0.3364,0.9230,0.3164,0.1829,-0.6707,-0.5488
1595879211,0.3384,0.9210,0.3190,0.0000,-0.9756,-0.7927
1595879211,0.3419,0.9146,0.3206,0.2439,-0.9756,-0.8537
1595879211,0.3455,0.9135,0.3191,0.4878,-0.5488,-0.9146
1595879211,0.3461,0.9161,0.3166,0.5488,-0.1220,-0.8537
1595879211,0.3423,0.9190,0.3176,0.7927,0.4878,-0.6707
1595879211,0.3376,0.9177,0.3168,0.8537,1.0366,-0.3659
1595879211,0.3303,0.9160,0.3149,0.9146,1.2805,-0.1220
1595879211,0.3269,0.9142,0.3146,0.7317,1.1585,0.0610
1595879211,0.3284,0.9133,0.3146,0.4268,0.6098,0.1829
1595879211,0.3304,0.9145,0.3126,0.1220,-0.1829,0.1829
1595879211,0.3293,0.9143,0.3145,0.1829,-0.4268,0.0000
1595879211,0.3271,0.9162,0.3144,0.1829,-0.5488,-0.3049
1595879211,0.3290,0.9171,0.3134,0.1220,-1.0366,-0.4878
1595879211,0.3343,0.9194,0.3114,-0.1220,-1.7073,-0.5488
1595879211,0.3385,0.9174,0.3127,-0.1829,-2.1951,-0.6098
1595879211,0.3387,0.9128,0.3131,-0.1829,-2.3171,-0.6707
1595879211,0.3408,0.9133,0.3124,-0.1829,-2.3780,-0.6098
1595879211,0.3425,0.9140,0.3166,-0.1829,-2.1341,-0.4878
1595879211,0.3450,0.9153,0.3141,-0.1220,-1.8902,-0.4268
1595879211,0.3429,0.9166,0.3169,-0.1220,-1.7073,-0.2439
1595879211,0.3407,0.9160,0.3177,-0.1220,-1.5244,-0.2439
1595879211,0.3412,0.9167,0.3183,0.0000,-1.4024,-0.2439
1595879211,0.3428,0.9172,0.3196,0.0610,-1.4634,-0.3049
1595879211,0.3442,0.9127,0.3198,0.0000,-1.3415,-0.3659
1595879211,0.3443,0.9109,0.3198,0.0610,-1.0976,-0.4268
1595879211,0.3443,0.9110,0.3232,0.1220,-0.7927,-0.3049
1595879212,0.3434,0.9119,0.3192,0.4878,-0.3049,-0.2439
1595879212,0.3400,0.9145,0.3205,0.5488,0.1220,-0.1220
1595879212,0.3385,0.9139,0.3181,0.6707,0.5488,0.0000
1595879212,0.3358,0.9130,0.3175,0.7317,0.7927,0.0610
1595879212,0.3327,0.9146,0.3172,0.7927,0.7927,0.0000
1595879212,0.3337,0.9172,0.3165,0.8537,0.7927,-0.0610
1595879212,0.3364,0.9163,0.3171,0.9146,0.7317,-0.2439
1595879212,0.3378,0.9149,0.3171,0.9756,0.6707,-0.3659
1595879212,0.3359,0.9160,0.3177,1.0366,0.7927,-0.3659
1595879212,0.3368,0.9171,0.3194,1.0976,0.9756,-0.3659
1595879212,0.3397,0.9169,0.3201,1.1585,0.9146,-0.3049
1595879212,0.3392,0.9194,0.3195,1.0976,0.9146,-0.2439
1595879212,0.3406,0.9197,0.3201,1.1585,0.9756,-0.3049
1595879212,0.3396,0.9184,0.3182,1.0366,0.7317,-0.3049
1595879212,0.3387,0.9163,0.3173,0.8537,0.4878,-0.1829
1595879212,0.3416,0.9155,0.3204,0.7317,0.3659,-0.1829
1595879212,0.3417,0.9167,0.3206,0.6707,0.4268,-0.1829
1595879212,0.3416,0.9147,0.3183,0.7317,0.5488,-0.2439
1595879212,0.3404,0.9152,0.3184,0.6707,0.6707,-0.3659
1595879212,0.3398,0.9150,0.3180,0.6098,0.8537,-0.3659
1595879212,0.3411,0.9164,0.3224,0.6098,0.8537,-0.3049
1595879212,0.3411,0.9147,0.3207,0.7317,0.8537,-0.3659
1595879212,0.3414,0.9140,0.3201,0.7927,0.7927,-0.3049
1595879212,0.3440,0.9138,0.3198,0.6707,0.7317,-0.2439
1595879212,0.3427,0.9143,0.3193,0.6707,0.9146,-0.2439
1595879212,0.3436,0.9153,0.3188,0.6707,1.0976,-0.1220
1595879212,0.3457,0.9144,0.3199,0.5488,1.0976,-0.1220
1595879212,0.3436,0.9147,0.3175,0.5488,1.1585,-0.1829
1595879212,0.3437,0.9148,0.3183,0.6098,1.4024,-0.1220
1595879212,0.3448,0.9131,0.3179,0.7317,1.7073,-0.1829
1595879212,0.3433,0.9120,0.3182,0.8537,2.1341,-0.0610
1595879212,0.3412,0.9126,0.3168,0.9756,2.3780,0.0610
1595879212,0.3375,0.9151,0.3173,1.0366,2.5610,0.0610
1595879212,0.3380,0.9119,0.3182,1.2195,2.6829,-0.0610
1595879212,0.3394,0.9128,0.3173,1.2195,2.8049,0.0000
1595879212,0.3401,0.9118,0.3174,1.1585,2.6829,0.0000
1595879212,0.3410,0.9147,0.3215,1.1585,2.6220,0.0000
1595879212,0.3423,0.9139,0.3242,1.1585,2.7439,-0.0610
1595879212,0.3442,0.9123,0.3284,1.0976,2.9878,-0.1220
1595879212,0.3460,0.9114,0.3283,1.2195,3.4146,-0.1220
