time,ax,ay,az,gx,gy,gz
1595879211,-0.9903,0.0005,0.0789,-0.2439,0.0610,0.0610
1595879211,-0.9987,0.0010,0.0798,-0.2439,0.0000,-0.2439
1595879211,-0.9971,0.0010,0.0828,-0.1829,-0.0610,-0.3659
1595879211,-0.9958,0.0001,0.0783,-0.1829,-0.0610,-0.3049
1595879211,-0.9973,0.0016,0.0808,-0.3049,-0.0610,-0.1220
1595879211,-0.9968,0.0023,0.0832,-0.2439,-0.0610,0.1220
1595879211,-0.9949,0.0000,0.0792,-0.1220,0.0000,0.1829
1595879211,-0.9966,0.0018,0.0792,-0.1829,-0.1220,0.0610
1595879211,-0.9963,0.0015,0.0804,-0.2439,0.0000,-0.1220
1595879211,-0.9980,0.0006,0.0819,-0.1829,0.0000,-0.3049
1595879211,-0.9949,0.0010,0.0836,-0.3049,-0.0610,-0.3659
1595879211,-0.9975,0.0001,0.0817,-0.3049,0.0610,-0.2439
1595879211,-0.9979,-0.0012,0.0829,-0.1829,0.0000,-0.0610
1595879211,-0.9978,0.0035,0.0816,-0.1829,-0.0610,0.1829
1595879211,-0.9988,0.0040,0.0812,-0.1829,0.0000,0.2439
1595879211,-0.9987,0.0026,0.0834,-0.1829,-0.0610,0.1829
1595879211,-0.9960,0.0027,0.0806,-0.2439,-0.0610,0.0000
1595879211,-0.9964,0.0019,0.0831,-0.1829,0.0610,-0.1829
1595879211,-0.9965,0.0017,0.0831,-0.1829,0.0000,-0.3659
1595879211,-0.9979,0.0008,0.0803,-0.2439,-0.1220,-0.2439
1595879211,-0.9984,-0.0005,0.0800,-0.2439,-0.0610,-0.1220
1595879211,-0.9969,0.0013,0.0806,-0.1220,0.0000,0.0000
1595879211,-0.9988,0.0009,0.0790,-0.2439,-0.0610,0.0610
1595879211,-0.9978,0.0003,0.0812,-0.2439,-0.0610,0.0000
1595879211,-0.9995,0.0010,0.0828,-0.2439,0.0000,0.0000
1595879211,-0.9969,0.0016,0.0825,-0.2439,0.0000,-0.0610
1595879211,-0.9972,0.0010,0.0824,-0.1829,-0.0610,-0.1829
1595879211,-0.9972,0.0012,0.0812,-0.2439,-0.0610,-0.1829
1595879211,-0.9967,0.0001,0.0799,-0.1220,-0.0610,-0.1829
1595879211,-0.9958,0.0019,0.0840,-0.1829,-0.0610,-0.0610
1595879211,-0.9966,0.0026,0.0812,-0.1829,-0.0610,0.0610
1595879211,-0.9980,0.0027,0.0814,-0.2439,0.0000,0.0000
